"date_format","category","tweets","country"
"2020-12","Negativo",40,"USA"
"2020-12","Neutral",67,"USA"
"2020-12","Positivo",132,"USA"
"2021-01","Negativo",106,"USA"
"2021-01","Neutral",79,"USA"
"2021-01","Positivo",138,"USA"
"2021-02","Negativo",355,"USA"
"2021-02","Neutral",320,"USA"
"2021-02","Positivo",630,"USA"
"2021-03","Negativo",1185,"USA"
"2021-03","Neutral",738,"USA"
"2021-03","Positivo",1565,"USA"
"2021-04","Negativo",1713,"USA"
"2021-04","Neutral",836,"USA"
"2021-04","Positivo",1485,"USA"
"2021-05","Negativo",504,"USA"
"2021-05","Neutral",373,"USA"
"2021-05","Positivo",583,"USA"
"2021-06","Negativo",665,"USA"
"2021-06","Neutral",712,"USA"
"2021-06","Positivo",1082,"USA"
"2021-07","Negativo",373,"USA"
"2021-07","Neutral",380,"USA"
"2021-07","Positivo",588,"USA"
"2021-08","Negativo",665,"USA"
"2021-08","Neutral",740,"USA"
"2021-08","Positivo",1010,"USA"
"2021-09","Negativo",341,"USA"
"2021-09","Neutral",329,"USA"
"2021-09","Positivo",550,"USA"
"2021-10","Negativo",407,"USA"
"2021-10","Neutral",380,"USA"
"2021-10","Positivo",574,"USA"
"2021-11","Negativo",363,"USA"
"2021-11","Neutral",331,"USA"
"2021-11","Positivo",659,"USA"
"2020-12","Negativo",31,"Reino Unido"
"2020-12","Neutral",33,"Reino Unido"
"2020-12","Positivo",82,"Reino Unido"
"2021-01","Negativo",72,"Reino Unido"
"2021-01","Neutral",82,"Reino Unido"
"2021-01","Positivo",198,"Reino Unido"
"2021-02","Negativo",138,"Reino Unido"
"2021-02","Neutral",117,"Reino Unido"
"2021-02","Positivo",258,"Reino Unido"
"2021-03","Negativo",393,"Reino Unido"
"2021-03","Neutral",292,"Reino Unido"
"2021-03","Positivo",648,"Reino Unido"
"2021-04","Negativo",219,"Reino Unido"
"2021-04","Neutral",180,"Reino Unido"
"2021-04","Positivo",343,"Reino Unido"
"2021-05","Negativo",94,"Reino Unido"
"2021-05","Neutral",109,"Reino Unido"
"2021-05","Positivo",176,"Reino Unido"
"2021-06","Negativo",145,"Reino Unido"
"2021-06","Neutral",156,"Reino Unido"
"2021-06","Positivo",270,"Reino Unido"
"2021-07","Negativo",117,"Reino Unido"
"2021-07","Neutral",93,"Reino Unido"
"2021-07","Positivo",179,"Reino Unido"
"2021-08","Negativo",119,"Reino Unido"
"2021-08","Neutral",113,"Reino Unido"
"2021-08","Positivo",238,"Reino Unido"
"2021-09","Negativo",77,"Reino Unido"
"2021-09","Neutral",68,"Reino Unido"
"2021-09","Positivo",126,"Reino Unido"
"2021-10","Negativo",103,"Reino Unido"
"2021-10","Neutral",60,"Reino Unido"
"2021-10","Positivo",138,"Reino Unido"
"2021-11","Negativo",97,"Reino Unido"
"2021-11","Neutral",73,"Reino Unido"
"2021-11","Positivo",141,"Reino Unido"
"2020-12","Negativo",32,"India"
"2020-12","Neutral",32,"India"
"2020-12","Positivo",39,"India"
"2021-01","Negativo",37,"India"
"2021-01","Neutral",15,"India"
"2021-01","Positivo",56,"India"
"2021-02","Negativo",127,"India"
"2021-02","Neutral",129,"India"
"2021-02","Positivo",232,"India"
"2021-03","Negativo",667,"India"
"2021-03","Neutral",859,"India"
"2021-03","Positivo",1423,"India"
"2021-04","Negativo",930,"India"
"2021-04","Neutral",847,"India"
"2021-04","Positivo",2019,"India"
"2021-05","Negativo",1045,"India"
"2021-05","Neutral",1411,"India"
"2021-05","Positivo",1851,"India"
"2021-06","Negativo",1531,"India"
"2021-06","Neutral",1509,"India"
