"date_format","category","freq"
"2020-12","Negativo",118
"2020-12","Neutral",170
"2020-12","Positivo",314
"2021-01","Negativo",267
"2021-01","Neutral",206
"2021-01","Positivo",442
"2021-02","Negativo",809
"2021-02","Neutral",789
"2021-02","Positivo",1394
"2021-03","Negativo",2918
"2021-03","Neutral",2226
"2021-03","Positivo",4313
"2021-04","Negativo",3869
"2021-04","Neutral",2145
"2021-04","Positivo",4386
"2021-05","Negativo",1910
"2021-05","Neutral",2054
"2021-05","Positivo",2870
"2021-06","Negativo",2666
"2021-06","Neutral",2739
"2021-06","Positivo",4725
"2021-07","Negativo",1141
"2021-07","Neutral",2645
"2021-07","Positivo",3303
"2021-08","Negativo",1476
"2021-08","Neutral",4706
"2021-08","Positivo",4951
"2021-09","Negativo",966
"2021-09","Neutral",3990
"2021-09","Positivo",3924
"2021-10","Negativo",1038
"2021-10","Neutral",2287
"2021-10","Positivo",3939
"2021-11","Negativo",825
"2021-11","Neutral",823
"2021-11","Positivo",3396
