"word","freq"
"aboveall",8139
"age",14332
"ageand",9523
"ages",8223
"already",1000
"also",1456
"and",1802
"apollo",5378
"approval",3852
"approve",1446
"approved",4093
"approves",1134
"arm",1947
"arrived",1008
"astrazeneca",3181
"available",2668
"batch",1396
"bbmp",11252
"best",1230
"better",1229
"bharat",2763
"bharatbiotech",1886
"biotech",1896
"biotechs",1179
"booster",3224
"can",3447
"canada",1107
"centre",1051
"children",1921
"china",2306
"chinas",1783
"chinese",1877
"clinic",2648
"cloudnine",1168
"coronavirus",2922
"countries",1067
"covaxin",57053
"covaxindoseslots",11356
"covid",27412
"covidvaccination",1376
"covidvaccine",7336
"covishield",4562
"crs",1471
"data",1914
"dateaug",3570
"datejul",1611
"dateoct",1794
"datesep",3622
"day",1718
"days",1669
"delta",1211
"developed",1065
"died",1117
"done",3347
"dont",1647
"dose",24191
"doses",5899
"effective",2236
"effects",1885
"efficacy",1680
"emergency",3094
"even",1096
"fda",1858
"feel",1141
"feeling",1018
"fees",10617
"finally",1498
"first",9544
"for",1190
"free",1966
"fully",2790
"get",6316
"gets",1264
"getting",2332
"getvaccinated",1085
"going",1020
"good",3173
"got",10292
"government",1444
"govt",1251
"great",1254
"health",3602
"hosp",1585
"hospital",8906
"hospitals",1364
"how",1169
"india",5903
"indian",1349
"indias",1214
"its",1517
"jab",3128
"just",5198
"kids",1122
"know",1784
"like",2572
"made",1545
"man",2055
"many",1098
"may",1425
"moderna",46257
"modernas",1209
"mrna",2962
"mumbai",1126
"need",2042
"new",2153
"news",2236
"next",1245
"not",1027
"now",4660
"ocgn",3485
"ocugen",1548
"one",3478
"oxfordastrazeneca",2726
"people",3398
"pfizer",11348
"pfizerbiontech",7182
"pincode",11443
"please",1634
"pmc",1476
"production",1427
"prs",1368
"pvt",1519
"received",2517
"receiving",1370
"road",2762
"russia",1417
"russian",1277
"russias",1222
"safe",1227
"said",1519
"says",2232
"second",6747
"shot",6947
"shots",1568
"side",2301
"sinopharm",9540
"sinovac",11805
"slots",12622
"soon",1016
"sore",1092
"sputnik",1820
"sputnikv",14169
"still",1646
"study",2111
"take",1868
"thank",2219
"thanks",1203
"the",9222
"this",2067
"time",1618
"today",5800
"took",1477
"trial",1229
"trials",1133
"two",1979
"use",4617
"vaccinated",9878
"vaccination",4913
"vaccine",39493
"vaccines",9990
"waiting",1111
"want",1076
"week",1391
"well",1241
"what",1517
"who",4287
"why",1479
"will",6679
"world",2237
"yearold",1011
"yesterday",1226
"yet",1016
"you",1147
